date,pm10,so2
2021-01-01 00:00:00,31.08,11.13
2021-01-01 01:00:00,29.69,17.13
2021-01-01 02:00:00,37.71,23.19
2021-01-01 03:00:00,54.67,22.5
2021-01-01 04:00:00,68.03,19.07
2021-01-01 05:00:00,74.25,15.92
2021-01-01 06:00:00,71.77,15.17
2021-01-01 07:00:00,63.26,14.67
2021-01-01 08:00:00,57.8,14.25
2021-01-01 09:00:00,56.25,14.27
2021-01-01 10:00:00,55.41,14.3
2021-01-01 11:00:00,57.6,12.94
2021-01-01 12:00:00,49.4,11.19
2021-01-01 13:00:00,40.34,10.32
2021-01-01 14:00:00,38.2,9.66
2021-01-01 15:00:00,31.06,7.04
2021-01-01 16:00:00,27.58,4.18
2021-01-01 17:00:00,29.35,3.44
2021-01-01 18:00:00,28.62,3.22
2021-01-01 19:00:00,24.1,2.88
2021-01-01 20:00:00,19.9,4.2
2021-01-01 21:00:00,27.18,6.85
2021-01-01 22:00:00,37.6,11.89
2021-01-01 23:00:00,52.21,20.44
2021-01-02 00:00:00,85.99,21.81
2021-01-02 01:00:00,111.07,18.95
2021-01-02 02:00:00,119.66,22.74
2021-01-02 03:00:00,124.71,21.38
2021-01-02 04:00:00,106.8,15.03
2021-01-02 05:00:00,84.51,14.52
2021-01-02 06:00:00,76.84,13.69
2021-01-02 07:00:00,67.33,11.7
2021-01-02 08:00:00,59.15,13.02
2021-01-02 09:00:00,56.05,13.28
2021-01-02 10:00:00,60.99,13.58
2021-01-02 11:00:00,69.37,14.84
2021-01-02 12:00:00,81.19,13.77
2021-01-02 13:00:00,86.61,11.27
2021-01-02 14:00:00,82.44,9.46
2021-01-02 15:00:00,73.18,8.73
2021-01-02 16:00:00,66.07,8.27
2021-01-02 17:00:00,68.06,8.88
2021-01-02 18:00:00,64.48,11.13
2021-01-02 19:00:00,67.45,16.1
2021-01-02 20:00:00,94.76,24.8
2021-01-02 21:00:00,148.03,29.08
2021-01-02 22:00:00,180.79,25.62
2021-01-02 23:00:00,176.78,19.89
2021-01-03 00:00:00,171.14,14.31
2021-01-03 01:00:00,159.3,11.65
2021-01-03 02:00:00,151.82,11.78
2021-01-03 03:00:00,164.25,9.85
2021-01-03 04:00:00,154.3,6.7
2021-01-03 05:00:00,105.69,6.06
2021-01-03 06:00:00,68.73,6.74
2021-01-03 07:00:00,53.22,7.79
2021-01-03 08:00:00,43.0,7.93
2021-01-03 09:00:00,39.86,7.54
2021-01-03 10:00:00,41.64,7.12
2021-01-03 11:00:00,43.07,6.95
2021-01-03 12:00:00,46.67,7.4
2021-01-03 13:00:00,55.84,7.86
2021-01-03 14:00:00,80.27,6.99
2021-01-03 15:00:00,100.45,6.05
2021-01-03 16:00:00,102.1,5.94
2021-01-03 17:00:00,105.78,6.82
2021-01-03 18:00:00,117.13,7.36
2021-01-03 19:00:00,115.66,7.28
2021-01-03 20:00:00,97.98,7.61
2021-01-03 21:00:00,86.95,7.59
2021-01-03 22:00:00,85.33,8.18
2021-01-03 23:00:00,95.2,9.11
2021-01-04 00:00:00,103.96,7.8
2021-01-04 01:00:00,101.65,5.77
2021-01-04 02:00:00,98.12,4.83
2021-01-04 03:00:00,89.4,4.08
2021-01-04 04:00:00,75.99,4.06
2021-01-04 05:00:00,61.86,4.14
2021-01-04 06:00:00,55.13,4.58
2021-01-04 07:00:00,59.12,4.74
2021-01-04 08:00:00,57.56,4.27
2021-01-04 09:00:00,55.15,4.02
2021-01-04 10:00:00,54.56,3.61
2021-01-04 11:00:00,56.75,4.34
2021-01-04 12:00:00,68.97,5.39
2021-01-04 13:00:00,82.67,5.14
2021-01-04 14:00:00,91.34,5.21
2021-01-04 15:00:00,92.0,6.08
2021-01-04 16:00:00,81.95,7.4
2021-01-04 17:00:00,70.77,7.8
2021-01-04 18:00:00,60.43,7.29
2021-01-04 19:00:00,49.83,7.08
2021-01-04 20:00:00,44.49,6.59
2021-01-04 21:00:00,39.66,6.6
2021-01-04 22:00:00,33.67,6.8
2021-01-04 23:00:00,35.76,6.76
2021-01-05 00:00:00,36.37,6.83
2021-01-05 01:00:00,31.38,7.78
2021-01-05 02:00:00,26.3,8.54
2021-01-05 03:00:00,28.45,8.27
2021-01-05 04:00:00,30.07,7.89
2021-01-05 05:00:00,28.1,8.15
2021-01-05 06:00:00,28.71,8.29
2021-01-05 07:00:00,31.56,7.64
2021-01-05 08:00:00,35.06,7.34
2021-01-05 09:00:00,31.43,7.56
2021-01-05 10:00:00,24.99,7.89
2021-01-05 11:00:00,21.38,8.18
2021-01-05 12:00:00,23.1,8.22
2021-01-05 13:00:00,25.57,8.44
2021-01-05 14:00:00,23.99,8.36
2021-01-05 15:00:00,23.42,23.02
2021-01-05 16:00:00,20.54,43.82
2021-01-05 17:00:00,15.52,49.35
2021-01-05 18:00:00,14.97,49.1
2021-01-05 19:00:00,19.86,47.13
2021-01-05 20:00:00,27.61,44.17
2021-01-05 21:00:00,31.43,42.75
2021-01-05 22:00:00,26.4,42.81
2021-01-05 23:00:00,19.15,41.92
2021-01-06 00:00:00,17.5,32.46
2021-01-06 01:00:00,24.94,16.92
2021-01-06 02:00:00,34.79,11.8
2021-01-06 03:00:00,43.28,11.74
2021-01-06 04:00:00,47.57,8.92
2021-01-06 05:00:00,45.66,8.33
2021-01-06 06:00:00,43.85,17.58
2021-01-06 07:00:00,40.1,35.82
2021-01-06 08:00:00,38.45,43.11
2021-01-06 09:00:00,43.03,40.67
2021-01-06 10:00:00,55.14,42.47
2021-01-06 11:00:00,77.19,48.38
2021-01-06 12:00:00,103.41,47.6
2021-01-06 13:00:00,115.46,39.0
2021-01-06 14:00:00,109.11,32.41
2021-01-06 15:00:00,89.99,28.83
2021-01-06 16:00:00,66.72,28.06
2021-01-06 17:00:00,55.58,28.26
2021-01-06 18:00:00,49.48,28.03
2021-01-06 19:00:00,43.94,27.81
2021-01-06 20:00:00,44.27,31.84
2021-01-06 21:00:00,53.14,44.83
2021-01-06 22:00:00,82.59,46.41
2021-01-06 23:00:00,108.6,42.17
2021-01-07 00:00:00,114.22,42.18
2021-01-07 01:00:00,111.91,27.32
2021-01-07 02:00:00,96.07,14.4
2021-01-07 03:00:00,81.99,11.88
2021-01-07 04:00:00,68.49,13.11
2021-01-07 05:00:00,52.83,16.29
2021-01-07 06:00:00,46.91,10.86
2021-01-07 07:00:00,44.77,5.24
2021-01-07 08:00:00,47.51,4.91
2021-01-07 09:00:00,60.74,3.82
2021-01-07 10:00:00,77.11,3.29
2021-01-07 11:00:00,89.21,5.47
2021-01-07 12:00:00,98.89,8.82
2021-01-07 13:00:00,99.66,9.19
2021-01-07 14:00:00,93.17,9.65
2021-01-07 15:00:00,80.22,13.62
2021-01-07 16:00:00,64.26,17.02
